article_id,category,date,title,char_count,jreadability,url,body
sports-watch-4764756,sports-watch,2010-05-12T14:00:00+0900,【Sports Watch】ラモス氏“監督は鉄になるしかない”,548,-0.170024691,http://news.livedoor.com/article/detail/4764756/,サッカーW杯南アフリカ大会まで残すところ約一ヵ月となり、先日、出場登録23名の日本代表選手も決定したが、「大会ベスト4」を目標に掲げる岡田武史監督には、戦前より否定的な見方や批判のほうが先行している印象は否めない。 そんな折、元日本代表でサッカー解説者のラモス瑠偉氏は、自身のブログ「CARIOCA」で「監督というもの」と題し、その重圧を説いた。 「ブラジルなどメディアだけでなく国民の数だけ評論家がいて それぞれが勝手に無責任に批判を繰り広げる それは日本の比ではない」というラモス氏は、「日本には今現在代表候補は35人くらい それを23人にしぼるだけでこの騒ぎ ブラジルには代表候補だけでも100人前後 今日ブラジルでもメンバー発表がおこなわれ 今現在国中の批判の嵐となっている」と語る。 しかし、「だからこそ監督はそれをいちいち気にしていたら 心身ともにおかしくなってしまう 監督は打たれてもびくともしない様な 鉄になるしかない」と訴える同氏は、岡田監督に対し、「俺を含め 言いたい事がある奴には勝手に言わせ 彼には 雑音はシャットアウトして W杯に集中してもらおう」と綴っており、“自分は言いたいことは言うけど、雑音はシャットアウトして”という、なんとも複雑なメッセージを送るのであった。
topic-news-6208969,topic-news,2012-01-20T19:45:00+0900,「福島で健康被害は出ない」にネット騒然,400,0.304614173,http://news.livedoor.com/article/detail/6208969/,オピニオンサイト「アゴラ」が主催するネット生放送番組「ニコ生アゴラ」において、19日に放送された「放射能はそんなに危険？原発のリスクを考える」という放送内容が、ネット上で物議を醸している。 同番組には、東京大学医学部附属病院放射線科准教授の中川恵一氏、横浜国立大学環境情報研究院教授の松田裕之氏など、放射能に関する専門家が出演し、議論を重ねたが、中でも注目を集めたのは、札幌医科大学の教授である高田純氏が自ら実測した結果を元に出した「福島で健康被害は出ない」という見解である。 これを受け、ネット掲示板では「放射性物質による被害は半年や1年ではわからない」「安全と決めつける行為こそ一番無責任」など、批判的なコメントが寄せられた一方、「この放射線量でDNAを破壊するなら周りの植物も枯れたりするんじゃないの?」など、放射性物質や放射能の脅威を訴える識者を疑問視する声も挙がり、賛否両論の状態となった。
topic-news-6705586,topic-news,2012-06-29T10:52:00+0900,【韓国ニュース】北朝鮮が日韓の軍事協定を批判  韓国ユーザーからは「敵の敵は味方」の声,545,0.480103955,http://news.livedoor.com/article/detail/6705586/,28日、北朝鮮の対南宣伝Webサイト「我が民族同志」は、日本と韓国の間で締結した「軍事情報包括保護協定」を批判する論評を28日掲載した。 同論評は、韓国が同協定の締結を急いだ理由を「アメリカの圧力であった」と主張し、韓国当局に対し「事大売国連中を至急に埋葬しなければならない」と述べた。 同論評の内容が引用報道されると、韓国のネット掲示板には「お願いだから静かにしろ」「お前らのせいで日本と協定したのだが」と、北朝鮮への批判が相次いだ。 日本に対しては、「韓国が自衛隊を軍隊として認めたようなものではないか」と、懸念する声が上がったが、「敵の敵は味方だってことわざがある」「最初は軍事協定に反対だったが、北朝鮮がこのような姿勢なら肯定的に感じる」と、普段は批判の的になる日本との協定に対して肯定的な意見が多く書き込まれた。 【関連記事】 ・日韓軍事情報協定、韓国内では反発も「過去の歴史の清算が先」＝韓国 ・「韓日軍事協定、日本の過去清算に免罪符」…市民団体が次々と反対表明 ・大阪の安宿を求めて西成のあいりん地区に外国人旅行者に混じって宿泊してみた米国が韓日軍事情報協定の締結を歓迎 【関連情報】 ・ ＜軍事情報包括保護協定＞こっそり通過 — 稀代の親日売国行為（我が民族同士＜朝鮮語＞）
topic-news-6799292,topic-news,2012-07-27T21:39:00+0900,【韓国ニュース】韓国旗踏みつけ動画に批判殺到　韓国ユーザー「米国相手にはできないくせに」,480,0.531319865,http://news.livedoor.com/article/detail/6799292/,26日、韓国旗に似たマットを踏みつける動画が動画サイトに投稿され、韓国でも波紋を呼んでいる。 動画は、「日韓断交共闘委員会・関西」なる市民団体が主催し、日韓自由貿易協定や日韓防衛協定阻止し、日韓国交断絶を呼びかけるデモの一部を撮影したもので、韓国旗に似たマットを参加者たちが次々と踏みつける様子が収められている。 同事件は韓国紙「国民日報」でも報道され、記事のコメント欄には「国交断絶するなら天皇陛下を返還しろ」「米国相手にはこんなことできないくせに」「北朝鮮と似た行動だ」「他の日本人も恥ずかしいだろう」など、デモ主催者に対する批判が殺到している。 【関連記事】 ・デモ中に太極旗に似た旗を足で踏みつけニコ動に公開し案の定炎上 「日本の恥」「在日以下」「民度低い」 ・一水会が差別発言「原発技術なんか、朝鮮人にくれてやれ」「穢れた技術は、穢れた民族にこそ相応しい」 ・>【韓国ニュース】「モテなかったから僧侶になった」 韓国僧侶の発言が話題呼ぶ 【関連情報】 ・ 日本 極右派‘太極旗踏み’行事でいう言葉が…“ペプシとゴキブリに過ぎず”（国民日報＜韓国語＞)
sports-watch-5351853,sports-watch,2011-02-18T02:30:00+0900,【Sports Watch】大相撲八百長問題、4人に1人が「即刻解散をするべき」,477,0.577049505,http://news.livedoor.com/article/detail/5351853/,大相撲の八百長問題では、特別調査委員会が設置され調査するとしながらも、80人近くに行ったはずの聞き取り調査では、八百長メールに記載があった14名以外で関与を疑われる力士は出ていないという中間報告をするなど、ファンにとっては釈然としない日々が続いている。 そんな折、マーケティングリサーチを行うメディアインタラクティブは、今月8〜9日の二日間でスポーツに興味を持つ男女500名を対象にした「スポーツに関する意識調査」を実施。 「八百長問題でゆれる相撲界ですが、今後どうするべきだと思いますか」という設問には、約半数となる46.6％が「調査完了するまで興行はやめるべき」と回答している一方で、4人に1人となる23％が「即刻解散をするべき」と答えている。 その他には、「ファンがまっているので興行はすべきだが、調査はするべき」という回答が22％、「調査も必要ない、はやく再開するべき」が2％、「その他」6.4％と続いており、同社は「税制面で優遇される公益法人の返上や、徹底した調査を実施して関与した力士全員の解雇や幕下降格など、厳しい意見も多い」と伝えている。
topic-news-6403803,topic-news,2012-03-26T15:38:00+0900,米国人制作の福島の映画「ニュー・ヒバクシャ」に戸惑いの声,435,0.711407407,http://news.livedoor.com/article/detail/6403803/,25日、TBSは福島のドキュメンタリー映画を制作する18歳の米国人青年の活動を報じ、ネット掲示板で物議を醸している。 この米国人青年は、福島を取材をした際、被災地の生々しい現状や「ヒバクシャ」という言葉を知り、胸を痛め「ニュー・ヒバクシャ」という題名で映画を制作することを決心したという。 この報道を受け、ネット掲示板では「タイトルがストレート過ぎる」「誰か、不謹慎なタイトルだと突っ込んでやれ」といった戸惑いの声が相次ぎ、その他にも「タイトル間違ってはないんだが…原爆を落とした国がそれを言うとは」「原爆落としたことなんて連中が屁とも思ってない証拠だな」など、米国がかつて広島や長崎へ原爆を投下した歴史的経緯から、映画タイトルに違和感を露にする意見も多く見られた。 だが、一方で日本のメディアによる報道に不満を持つユーザーからは、「確かに『アメリカよ、おまえが言うか』って感じだけど福島の現実を知らしめるには良いんじゃないか」など、映画に期待を寄せる声も一部にあった。
topic-news-6095112,topic-news,2011-12-06T19:56:00+0900,「うどん県」でも郵便物届けて　香川県が要潤を郵便会社に派遣し要望,425,0.967531915,http://news.livedoor.com/article/detail/6095112/,香川県が6日、知名度抜群の讃岐うどんにあやかって県をPRしようと、「宛名に“うどん県”と書かれていても香川県に郵便物が届くようにして欲しい」と、郵便事業会社の担当者に要望したと毎日新聞が報じている。 この報道を受け、ネット掲示板には「調子に乗りすぎ」「一般の人からしたら迷惑」などの否定的な声が多く寄せられたが、「うちは桜島県か いいな」など、香川県の要望に便乗して自分たちの県でも名産物など観光資源を県名に冠したいという声も上がった。 なお、この要望に対し郵便事業会社の担当者は「“うどん県”とあっても郵便番号が書かれていれば届くと思う。郵便番号がなくても、市や町の名前から届けるよう努力する」と柔軟な姿勢を見せているという。 今後の他県の動きや、郵便事業会社の対応に注目したい。 【関連情報】 ・要潤が「うどん県で宛先書いても香川県に届くようにして」と郵便会社に直訴 ・香川県：「うどん県」でも郵便物届けて 郵便会社に要望 ・香川県公式観光サイト
topic-news-6201038,topic-news,2012-01-18T12:59:00+0900,田中慎弥氏の芥川賞受賞会見にネット騒然,511,1.109167089,http://news.livedoor.com/article/detail/6201038/,17日、第146回芥川賞を受賞した田中慎弥氏の記者会見における応対がネット掲示板で話題となっている。 田中氏は受賞の感想を問われた際に「都知事閣下と都民各位のために、もらっといてやる」「もうとっとと終わりにしましょう」と言い放つなど、終始憮然とした態度を貫き通したため、微妙な空気が漂う会見となった。 ネット掲示板には、会見の模様をTVで見たユーザーから「これは酷い」「典型的な中二病」など、田中氏を揶揄する書き込みが多く寄せられたが、その一方で「やっぱ物書きはこうじゃなきゃな」「これくらいぶっ飛んでていいと思う」「田中△」など、己を貫く田中氏を賞賛する声も目立った。 田中氏は高校卒業以来アルバイトも含め職業に就いたことがないという異色の経歴の持ち主だが、2008年には第34回川端康成文学賞を史上最年少（当時）で受賞、さらに芥川賞受賞に際しても「これだけの力量のある新人はめったにいない」と黒井千次選考委員に言わしめた実力を持つ。 ■関連情報 ・芥川賞を受賞した田中慎弥氏「都知事閣下と東京都民各位のためにもらっといてやる」 ・芥川賞 田中慎弥さん「これだけの力量のある新人はめったにいない」 黒井千次選考委員の講評
topic-news-6420646,topic-news,2012-03-30T19:12:00+0900,「やりたい放題だな」東電社員の給与のせいで電気代高騰か,593,1.129860963,http://news.livedoor.com/article/detail/6420646/,29日、東電が大卒社員の20%削減後の給与を公表したと東京新聞が報じているが、その給与額がネット掲示板で物議を醸している。 記事によると、関東地方知事会長の横内氏らは、4月以降に企業向けの料金値上げを実施する東電に対して「人件費が先決」と迫って値上げの中止を要請。さらに東電社員の平均年間給与が国家公務員より高いとして「人件費の削減率が20%では低いのでは」と追及した。東電側は「高卒を含む全社員の平均は570万円で、国家公務員の634万円を下回っている」と答えたが「大卒社員は削減後も835万円と高水準だ」と詰め寄られると「大卒は55歳で1020万円」と詳細を明らかにしたという。 これを受けてネット掲示板では「やりたい放題だなwwこいつらの給料のせいで電気代高いだけじゃん」「東大卒平均を最低賃金まで下げれば良いんじゃ無いか」「生活保護レベルまで給与は落とせるだろ」と批判の声が相次いだ。その一方で「社員の気持ちも考えろボケ」「愚民の考えることはよーわからんなw 優秀な奴がいい給料貰って何が悪い」と擁護する声も見られ、賛否両論の様相を呈していた。 【関連記事】 ・「値上げ拒否なら電気停止」東電の脅迫まがいの発言に非難続出(トピックニュース) 【関連情報】 ・【話題】 東京電力の大卒社員は、給与２０％削減でも平均年収８３５万円、５５歳で１０２０万円(livedoor Blog)
sports-watch-4753557,sports-watch,2010-05-06T07:30:00+0900,【Sports Watch】W杯ツアー業者が音信不通、被害額は1500万円超!?,465,1.137713262,http://news.livedoor.com/article/detail/4753557/,「『ToerAfrika』は南アフリカ共和国を拠点に、各種媒体を通じてアフリカ旅行全般を日本の皆様に提供・提案する旅行ポータル事業者」（ツールアフリカ・サイトより） サッカーのW杯南アフリカ大会のツアー業者を名乗る「ツールアフリカ」が、利用者から入金を受けた後、先月から音信不通となっている問題で、テレビ朝日「報道ステーション」（6日放送）は、すでに申し込みを済ませた利用者の振込額は1500万円超と伝えた。 同番組の調べによると、観光庁に「ツールアフリカ」という業者の登録はなく、また、在南アフリカ日本大使館・新保剛領事は、「私どもが南アフリカの観光協会から聞いた話では、旅行協会には登録されていない。責任者の方が労働許可はとっていないので、日本にいて出張で南アフリカにきていますという話を聞いています」と同番組に説明、日本と南アの双方で業者登録はないとした。 また、番組キャスター・古舘伊知郎氏は、「災難ですけども、インターネット取引の便利さの中で、こちら側が見分ける力を持っていなければならない時代になりましたね」と語った。
