id,condition,score,length,text,question,choice_A,choice_A_type,choice_B,choice_B_type,choice_C,choice_C_type,choice_D,choice_D_type,correct_answer
000,hard,-0.170024691,548,サッカーW杯南アフリカ大会まで残すところ約一ヵ月となり、先日、出場登録23名の日本代表選手も決定したが、「大会ベスト4」を目標に掲げる岡田武史監督には、戦前より否定的な見方や批判のほうが先行している印象は否めない。 そんな折、元日本代表でサッカー解説者のラモス瑠偉氏は、自身のブログ「CARIOCA」で「監督というもの」と題し、その重圧を説いた。 「ブラジルなどメディアだけでなく国民の数だけ評論家がいて それぞれが勝手に無責任に批判を繰り広げる それは日本の比ではない」というラモス氏は、「日本には今現在代表候補は35人くらい それを23人にしぼるだけでこの騒ぎ ブラジルには代表候補だけでも100人前後 今日ブラジルでもメンバー発表がおこなわれ 今現在国中の批判の嵐となっている」と語る。 しかし、「だからこそ監督はそれをいちいち気にしていたら 心身ともにおかしくなってしまう 監督は打たれてもびくともしない様な 鉄になるしかない」と訴える同氏は、岡田監督に対し、「俺を含め 言いたい事がある奴には勝手に言わせ 彼には 雑音はシャットアウトして W杯に集中してもらおう」と綴っており、“自分は言いたいことは言うけど、雑音はシャットアウトして”という、なんとも複雑なメッセージを送るのであった。,ラモス瑠偉氏が自身のブログで岡田武史監督に送ったメッセージの意図として、本文から読み取れる最も適切なものはどれか。,ラモス氏は、ブラジルでは日本以上に監督への批判が激しい現状を説明し、岡田監督にその状況を理解するよう求めた。,surface_match,ラモス氏は、岡田監督がメディアや国民からの批判を真摯に受け止め、それを今後の采配に活かすよう促した。,misunderstanding_1,ラモス氏は、自身も岡田監督に意見を述べる立場であることを強調し、監督が様々な声に耳を傾けることの重要性を説いた。,misunderstanding_2,ラモス氏は、監督は外部からの批判に動じず、自分の信念を貫き、W杯に集中すべきだと岡田監督に伝えた。,correct,D
001,medium,2.512118421,489,"MSN産経ニュースが1日に報じたところによると、静岡市がプロ野球球団創設に向け、4月に新部署を立ち上げる方針を決めたようだ。田辺信宏市長が、定住人口増加のために企画したもの。市民意識の調査費なども含め、平成24年度当初予算案に数千万円を計上するという。 静岡市の人口総数は714,122人(2012/1/24時点)と推計されており、1990年の739,300人をピークに減少傾向に歯止めがかからない。野球チームを創設することで、市外・県外への人口流出を少しでも食い止めたい狙いがあると思われる。しかし静岡は本来サッカーの街としての特色が強く、野球チームへの反響は未知数。加えて折からの不況の中、数千万もの税金を投じて調査を行なうことに、疑問の声も少なくない。 ネット上では「誘致じゃなくて創設かよ」「ちゃんとNPBというかナベツネと連携取れてるのか?」「若い奴らは関心無いぞ」「中日があるからいらねーだろ」「静岡はサッカー一筋にしといた方がいいんじゃねーの」「野球好きな人間も既に特定球団のファンだから、創設とか全く意味ねえ」と、この件について概ね冷ややかな見方が広がっている。",静岡市がプロ野球球団の創設を検討している主な目的は何ですか？,市民意識調査に数千万円の予算を計上し、市民の意見を広く募ること。,surface_match,静岡市をサッカーの街から野球の街へとイメージ転換を図ること。,misunderstanding_1,既存のプロ野球ファンをターゲットに新たな娯楽を提供し、地域経済を活性化させること。,misunderstanding_2,静岡市への定住人口を増やし、人口流出を抑制すること。,correct,D
002,easy,4.50274332,417,プロレスラー・佐々木健介の妻で、“鬼嫁”のキャッチフレーズでもすっかりお馴染みとなったタレント・北斗晶が、自身のブログ「北斗晶オフィシャルブログ そこのけそこのけ鬼嫁が通る」において「風俗は浮気」とキッパリ言い放った。 「風俗は浮気か！？浮気じゃないか！？今日のテレビ生放送で、アンケートをやったらさ あたしの予想とは違う結果だったよ」と綴った北斗。「浮気じゃないって思う人も多いんだな」と言いながらも、その最後には、「やる事やってりゃ 浮気 だべ」と断言した。 そんなコメント欄には、女性と思われる書き込みが多く寄せられ、「これ以上男の人に対して幻滅したくない」「同じくその意見です！」など、概ね迎合する意見が見られたが、中には「風俗がなかったらレイプや痴漢が増えると聞いた事があります」「素人に手を出すよりぜんぜんＯＫ(^_-)です プロ相手だし浮気に入らないと思う (⌒‐⌒)」などの反対意見も見れた。さて、あなたの見解は——？,北斗晶が自身のブログで「風俗は浮気」と断言したことについて、記事の内容として最も適切なものはどれか。,北斗晶は、テレビ番組のアンケートで「風俗は浮気ではない」という意見が多数を占めたため、自身のブログでその見解を支持する姿勢を示した。,misunderstanding_1,北斗晶のブログのコメント欄には、「風俗がなかったらレイプや痴漢が増える」という意見が多数寄せられ、その意見が記事の主要な論点となった。,surface_match,北斗晶は、テレビ番組のアンケート結果が自身の予想と異なり「浮気ではない」と考える人も多いと知った上で、「風俗は浮気である」という自身の見解を明確に示した。,correct,北斗晶の「風俗は浮気」という発言に対し、ブログのコメント欄には男性からの反論が殺到し、北斗晶の意見はほとんど支持されなかった。,misunderstanding_2,C
003,hard,0.304614173,400,オピニオンサイト「アゴラ」が主催するネット生放送番組「ニコ生アゴラ」において、19日に放送された「放射能はそんなに危険？原発のリスクを考える」という放送内容が、ネット上で物議を醸している。 同番組には、東京大学医学部附属病院放射線科准教授の中川恵一氏、横浜国立大学環境情報研究院教授の松田裕之氏など、放射能に関する専門家が出演し、議論を重ねたが、中でも注目を集めたのは、札幌医科大学の教授である高田純氏が自ら実測した結果を元に出した「福島で健康被害は出ない」という見解である。 これを受け、ネット掲示板では「放射性物質による被害は半年や1年ではわからない」「安全と決めつける行為こそ一番無責任」など、批判的なコメントが寄せられた一方、「この放射線量でDNAを破壊するなら周りの植物も枯れたりするんじゃないの?」など、放射性物質や放射能の脅威を訴える識者を疑問視する声も挙がり、賛否両論の状態となった。,「ニコ生アゴラ」の放送内容がネット上で物議を醸した主な原因は何ですか？,ネット掲示板で放射性物質の危険性を訴える意見が多数を占め、番組内容に疑問が呈されたため。,misunderstanding_2,放射能の危険性について専門家たちが議論したこと自体が、ネットユーザーの反発を招いたため。,misunderstanding_1,高田純氏が実測結果に基づいて示した、福島での健康被害はないとする見解が注目を集めたため。,correct,東京大学や横浜国立大学の教授陣が番組に出演し、専門的な見解を述べたため。,surface_match,C
004,medium,2.530076367,497,中日ドラゴンズの吉見投手が19日、今季本拠地最終戦となったナゴヤドームのヤクルト戦で18勝目を挙げ、勝利数、防御率（1.65）、勝率（8割5分7厘）の3部門でリーグ単独トップに立った。 しかし、先発投手だった川井が勝利投手になる権利を得る5回の前に降板し、吉見にプレゼントしたかのような継投による「投手三冠」は、批判も覚悟の上だ。 吉見自身も「こういう勝ち方をすると、いろいろ言われるかもしれない。川井さんや監督に助けてもらった1勝なので感謝したい」と個人タイトルのために動いてくれたチームメイトに感謝し、落合監督も「取れるチャンスがあるものは、取らせてやらないとな」と“確信犯”であったことを認めている。 ネット上の野球ファンの間では試合中、 「本当にやるんか…」「インチキ野郎ｗｗ」「2年ぶり2回目のインチキ最多勝」「吉見かっこ悪いわ…」 といった声が挙がった。試合後も 「ちょっと引く」「ああ、マジなんだな・・・って茫然としたわ」「ここまで来ると清々しいレベル」「ちょっとがっかりした」「みちゃいけないものをみた気がした」 と、このような形で投手三冠を確実にした行為に批判が相次いでいる。,吉見投手の投手三冠達成が批判を浴びた主な理由は何ですか？,吉見投手の防御率や勝率がリーグトップであったにもかかわらず、その実力が他の選手に比べて劣ると評価されたため。,misunderstanding_1,落合監督が試合後に「取れるチャンスがあるものは、取らせてやらないとな」と発言し、吉見投手の個人タイトル獲得を優先するチーム方針を公言したため。,surface_match,個人タイトル獲得のために、先発投手が勝利投手の権利を得る前に交代させられ、吉見投手が勝利を「プレゼント」されたかのような継投が行われたため。,correct,吉見投手がシーズンを通して規定投球回数に達しておらず、本来であれば投手三冠の資格がなかったにもかかわらず、特例で認められたため。,misunderstanding_2,C
005,easy,4.507083591,556,25日、一階級上のスーパーフライ級で3階級制覇を狙う亀田興毅は、メキシコのセシリオ・サントスと対戦する。前日となる24日深夜、TBS「S1」番組内では、MCの魔裟斗が興毅の取材＆インタビューを行った様子が放送された。 「連敗っていうのは絶対したくない？」と尋ねる魔裟斗に、興毅は「周りは楽勝だという人もおるけど、今回は初めて負けてからの復帰戦やから、もしここで万が一負けるようなことがあれば、もう引退かとか、亀田あかんなとか。だから、今までの中でも一番大事な試合やし」と語る。 また、「ボディ打ちをちょっと多く。俺の場合サウスポーやから、（相手の）中は入りやすい」と語る興毅だったが、魔裟斗が「神は超えられない人には試練を与えない」という言葉を紹介すると、「もう一回、再出発。KOで仕留めたい」と意気込んだ。 しかし、その収録後には興毅が魔裟斗に逆質問。「結婚してから、何か変わりました？」と尋ねると、魔裟斗は「全然変わりましたよ。俺はした方がいいと思っています」と笑顔を見せる。と、興毅が「子供の予定は？」と質問を重ねるや、「今はないですね。（性別は？）うーん、どっちでもいいですね。（男の子のほうがいい？）そうかな。俺にこの質問をバシバシしてくるのはアナタしかいませんからね」と苦笑いを浮かべる魔裟斗だった。,亀田興毅が今回の試合を「今までの中でも一番大事な試合」と語った主な理由は何ですか？,周囲からは楽勝だと言われていたが、本人は対戦相手のセシリオ・サントスが非常に手強いと認識していたため。,misunderstanding_2,前回の敗戦からの復帰戦であり、もし再び負ければ引退や評価の低下につながると考えていたため。,correct,魔裟斗からの「神は超えられない人には試練を与えない」という言葉に深く感銘を受け、再出発を誓ったため。,misunderstanding_1,スーパーフライ級での3階級制覇がかかっており、KOで相手を仕留めて新たな記録を打ち立てたかったため。,surface_match,B
006,hard,0.480103955,545,28日、北朝鮮の対南宣伝Webサイト「我が民族同志」は、日本と韓国の間で締結した「軍事情報包括保護協定」を批判する論評を28日掲載した。 同論評は、韓国が同協定の締結を急いだ理由を「アメリカの圧力であった」と主張し、韓国当局に対し「事大売国連中を至急に埋葬しなければならない」と述べた。 同論評の内容が引用報道されると、韓国のネット掲示板には「お願いだから静かにしろ」「お前らのせいで日本と協定したのだが」と、北朝鮮への批判が相次いだ。 日本に対しては、「韓国が自衛隊を軍隊として認めたようなものではないか」と、懸念する声が上がったが、「敵の敵は味方だってことわざがある」「最初は軍事協定に反対だったが、北朝鮮がこのような姿勢なら肯定的に感じる」と、普段は批判の的になる日本との協定に対して肯定的な意見が多く書き込まれた。 【関連記事】 ・日韓軍事情報協定、韓国内では反発も「過去の歴史の清算が先」＝韓国 ・「韓日軍事協定、日本の過去清算に免罪符」…市民団体が次々と反対表明 ・大阪の安宿を求めて西成のあいりん地区に外国人旅行者に混じって宿泊してみた米国が韓日軍事情報協定の締結を歓迎 【関連情報】 ・ ＜軍事情報包括保護協定＞こっそり通過 — 稀代の親日売国行為（我が民族同士＜朝鮮語＞）,北朝鮮が日韓の軍事情報包括保護協定を批判したことについて、韓国のネットユーザーの間ではどのような反応が見られましたか。,北朝鮮の主張に同調し、日韓の軍事協定締結はアメリカの圧力によるものだと批判する声が多数を占めました。,misunderstanding_1,「お願いだから静かにしろ」といった北朝鮮への批判と、「韓国が自衛隊を軍隊として認めた」ことへの懸念が主に表明されました。,surface_match,北朝鮮が協定を批判したことで、当初は反対していた軍事協定に対して肯定的な意見が増えました。,correct,日本との軍事協定に対する反発が強まり、過去の歴史問題の清算が優先されるべきだという意見が優勢になりました。,misunderstanding_2,C
007,medium,2.539003663,462,23日にメディア各社が報じた、タレントの青木さやかと、プロダンサーである夫との離婚が早くもネット掲示板上で話題になっている。 離婚原因は、海外で活動する夫とのすれ違いにあるとされ、今後の青木は芸能活動をより一層活発にする見通しだが、報道を受け、ネット掲示板では「子供がかわいそう」「母親イメージを前面に押し出して、乳ガン検診のCMに出演していたのに、離婚かよ」「すれ違いで離婚って、聞くたびに呆れる」「すれ違いなら子供を作るなよ。一番被害を被るのは、勝手な親を持つ子供なんだよね」など、「すれ違い」という子供の立場を考慮しない離婚理由に怒りの声が続出した。 また、その他にも「この人、結婚して現場を離れてから毒がなくなって、トークができなくなってたな。正直もう見るに耐えない」などと、青木の今後の芸能活動を危ぶむ声も寄せられている。 【関連記事】 ・青木さやか 離婚認める「夫婦という近い距離でぶつかりすぎた」 (livedoorニュース) 【関連情報】 ・青木さやかがプロダンサーの夫と離婚 (livedoor Blog),青木さやかの離婚報道を受けて、ネット掲示板で主にどのような反応が見られましたか？,夫とのすれ違いを理由とした離婚に対し、子供の立場を考慮しないことへの批判や、今後の芸能活動を危ぶむ声が多く寄せられました。,correct,夫の海外活動によるすれ違いが原因で離婚したことに対し、青木の芸能活動を応援する声や、夫への同情的な意見が多く見られました。,misunderstanding_1,青木が今後の芸能活動を活発にする見通しであることに対し、離婚を機に新たなキャリアを築こうとする姿勢を評価する声が多数寄せられました。,misunderstanding_2,青木さやかが乳がん検診のCMに出演していたにもかかわらず、結婚後に毒がなくなりトークができなくなったことへの指摘が目立ちました。,surface_match,A
008,easy,4.510131752,447,今シーズンより日本球界復帰を果たした阪神タイガース・城島健司。開幕から攻守に活躍し、大阪のファンにもすっかり認められた。 そんな逆輸入メジャーリーガーが、日本テレビ「NEWS ZERO」（5日放送分）でインタビューに答えた。「ピッチャーがどうこうしたい、ああしたいという色んなシチュエーションに対して、やっぱり全ての状況に応えてあげたいと思いますよね」と語る城島。 復帰とはいえ、ゼロからの再出発には、「ピッチャーが投げたいように。ピッチャーが気分がいいように。少しでも自分ができることがあれば、あわせたいと思う」と投手陣やチームへの献身を強調した。 また、勝負の年に並々ならぬ決意を見せる城島は、「決して仕事なんで。野球なんて楽しくやろう・・・。野球なんていったら。プロ野球を楽しくやろうとは思わないですが、プロだからこそ、どんなに苦しくても嫌だろうと、自分がグラウンドに立つための、やらなきゃいけないフローをキチッとやって、準備は怠らずにやらなきゃいけない。それがプロなんで」と熱く語った。,城島健司選手は、日本テレビ「NEWS ZERO」のインタビューで、プロ野球に対する自身の考えをどのように述べていますか？,プロ野球は楽しむものではなく、どんなに苦しくても常に準備を怠らず、職務を全うすべきだと考えている。,correct,メジャーリーグでの経験を活かし、ゼロからの再出発として日本球界での活躍を最優先に考えている。,misunderstanding_2,日本球界復帰後、阪神タイガースの投手陣が気持ちよく投げられるよう、自身の役割を調整している。,surface_match,プロ野球は苦しいものであり、楽しむことはできないと割り切り、義務としてプレーしている。,misunderstanding_1,A
009,hard,0.531319865,480,26日、韓国旗に似たマットを踏みつける動画が動画サイトに投稿され、韓国でも波紋を呼んでいる。 動画は、「日韓断交共闘委員会・関西」なる市民団体が主催し、日韓自由貿易協定や日韓防衛協定阻止し、日韓国交断絶を呼びかけるデモの一部を撮影したもので、韓国旗に似たマットを参加者たちが次々と踏みつける様子が収められている。 同事件は韓国紙「国民日報」でも報道され、記事のコメント欄には「国交断絶するなら天皇陛下を返還しろ」「米国相手にはこんなことできないくせに」「北朝鮮と似た行動だ」「他の日本人も恥ずかしいだろう」など、デモ主催者に対する批判が殺到している。 【関連記事】 ・デモ中に太極旗に似た旗を足で踏みつけニコ動に公開し案の定炎上 「日本の恥」「在日以下」「民度低い」 ・一水会が差別発言「原発技術なんか、朝鮮人にくれてやれ」「穢れた技術は、穢れた民族にこそ相応しい」 ・>【韓国ニュース】「モテなかったから僧侶になった」 韓国僧侶の発言が話題呼ぶ 【関連情報】 ・ 日本 極右派‘太極旗踏み’行事でいう言葉が…“ペプシとゴキブリに過ぎず”（国民日報＜韓国語＞),本文によると、韓国で波紋を呼んだ動画の内容と、それに対する韓国ユーザーの反応として、最も適切なものはどれですか。,韓国旗に似たマットを踏みつけるデモの様子が投稿され、これに対し韓国ユーザーからは、米国相手にはできない行動だという批判や、北朝鮮の行動に似ているという意見が寄せられた。,correct,動画は、日韓自由貿易協定の締結を求める韓国の市民団体が、日本の国旗に似たマットを踏みつける様子を撮影したもので、これに対し日本のメディアが強く非難した。,misunderstanding_2,韓国政府が日韓関係改善のために投稿した動画に対し、日本の市民団体が、デモ参加者の行動は日本の恥だと批判した。,misunderstanding_1,日韓断交共闘委員会・関西が主催したデモで、参加者が「天皇陛下を返還しろ」と叫びながら韓国旗を踏みつけ、その様子が国民日報で報道された。,surface_match,A
