participant_id,trial_id,condition,score,length,experiment_start_time,text_start_time,text_end_time,question_start_time,question_end_time,questionnaire_start_time,questionnaire_end_time,text_start_offset,text_end_offset,question_start_offset,question_end_offset,questionnaire_start_offset,questionnaire_end_offset,reading_time_sec,answer_time_sec,questionnaire_time_sec,correct_answer,participant_answer,correct,understanding,confidence,screen_width,screen_height
P001,000,hard,-0.170024691,548,1785472687.1241412,1785472687.1253161,1785472736.1567826,1785472736.1620133,1785472752.8520634,1785472752.8537025,1785472756.4202023,0.001,49.033,49.038,65.728,65.73,69.296,49.031,16.69,3.566,D,D,1,4,4,1920,1080
P001,001,medium,2.512118421,489,1785472687.1241412,1785472756.4236526,1785472805.7087817,1785472805.711456,1785472817.5241237,1785472817.5258486,1785472820.140683,69.3,118.585,118.587,130.4,130.402,133.017,49.285,11.813,2.615,D,C,0,4,4,1920,1080
P001,002,easy,4.50274332,417,1785472687.1241412,1785472820.1498613,1785472849.5646002,1785472849.567018,1785472868.9559941,1785472868.9576652,1785472871.9490483,133.026,162.44,162.443,181.832,181.834,184.825,29.415,19.389,2.991,C,C,1,5,5,1920,1080
P001,003,hard,0.304614173,400,1785472687.1241412,1785472871.9552085,1785472907.9481184,1785472907.9501934,1785472927.5084472,1785472927.510909,1785472929.5402613,184.831,220.824,220.826,240.384,240.387,242.416,35.993,19.558,2.029,C,C,1,4,4,1920,1080
P001,004,medium,2.530076367,497,1785472687.1241412,1785472929.5465305,1785472953.476459,1785472953.4779243,1785472969.1570187,1785472969.1599538,1785472973.7414844,242.422,266.352,266.354,282.033,282.036,286.617,23.93,15.679,4.582,C,B,0,5,4,1920,1080
P001,005,easy,4.507083591,556,1785472687.1241412,1785472973.745493,1785473010.6202478,1785473010.6221638,1785473021.9810257,1785473021.9865448,1785473025.860972,286.621,323.496,323.498,334.857,334.862,338.737,36.875,11.359,3.874,B,B,1,5,5,1920,1080
P001,006,hard,0.480103955,545,1785472687.1241412,1785473025.8672864,1785473065.1885664,1785473065.190295,1785473083.2042391,1785473083.206299,1785473085.9008656,338.743,378.064,378.066,396.08,396.082,398.777,39.321,18.014,2.695,C,A,0,4,3,1920,1080
P001,007,medium,2.539003663,462,1785472687.1241412,1785473085.9086833,1785473110.236288,1785473110.2381809,1785473123.6287026,1785473123.6304553,1785473125.8688219,398.785,423.112,423.114,436.505,436.506,438.745,24.328,13.391,2.238,A,A,1,5,5,1920,1080
P001,008,easy,4.510131752,447,1785472687.1241412,1785473125.8780618,1785473150.6843767,1785473150.68588,1785473163.0930934,1785473163.0974674,1785473165.6531978,438.754,463.56,463.562,475.969,475.973,478.529,24.806,12.407,2.556,A,D,0,4,4,1920,1080
P001,009,hard,0.531319865,480,1785472687.1241412,1785473165.662097,1785473193.9332178,1785473193.9356637,1785473211.756688,1785473211.7600014,1785473214.484818,478.538,506.809,506.812,524.633,524.636,527.361,28.271,17.821,2.725,A,A,1,4,5,1920,1080
P001,010,medium,2.549333333,462,1785472687.1241412,1785473214.489458,1785473241.541019,1785473241.5439785,1785473251.540513,1785473251.542316,1785473254.636487,527.365,554.417,554.42,564.416,564.418,567.512,27.052,9.997,3.094,C,C,1,4,5,1920,1080
P001,011,easy,4.51158159,561,1785472687.1241412,1785473254.6444998,1785473272.9168627,1785473272.919047,1785473284.0686715,1785473284.0722017,1785473287.876589,567.52,585.793,585.795,596.945,596.948,600.752,18.272,11.15,3.804,C,A,0,4,3,1920,1080
