timestamp,offset_sec,event,trial_id,phase,event_type
1785477451.6490862,0.0,SYNC,,sync,sync
1785477451.6518095,0.003,TEXT_1_START,000,text,start
1785477485.1526122,33.504,TEXT_1_END,000,text,end
1785477485.1558757,33.507,QUESTION_1_START,000,question,start
1785477501.3688617,49.72,QUESTION_1_END,000,question,end
1785477501.3717604,49.723,QUESTIONNAIRE_1_START,000,questionnaire,start
1785477506.1767507,54.528,QUESTIONNAIRE_1_END,000,questionnaire,end
1785477506.1812303,54.532,TEXT_2_START,001,text,start
1785477540.0969172,88.448,TEXT_2_END,001,text,end
1785477540.0998394,88.451,QUESTION_2_START,001,question,start
1785477558.2882514,106.639,QUESTION_2_END,001,question,end
1785477558.2906666,106.642,QUESTIONNAIRE_2_START,001,questionnaire,start
1785477560.4723432,108.823,QUESTIONNAIRE_2_END,001,questionnaire,end
1785477560.4785538,108.829,TEXT_3_START,002,text,start
1785477588.960124,137.311,TEXT_3_END,002,text,end
1785477588.9615722,137.312,QUESTION_3_START,002,question,start
1785477601.880599,150.232,QUESTION_3_END,002,question,end
1785477601.8849967,150.236,QUESTIONNAIRE_3_START,002,questionnaire,start
1785477604.8889089,153.24,QUESTIONNAIRE_3_END,002,questionnaire,end
1785477604.8949602,153.246,TEXT_4_START,003,text,start
1785477636.8010988,185.152,TEXT_4_END,003,text,end
1785477636.8037703,185.155,QUESTION_4_START,003,question,start
1785477658.7771266,207.128,QUESTION_4_END,003,question,end
1785477658.7797275,207.131,QUESTIONNAIRE_4_START,003,questionnaire,start
1785477662.0645585,210.415,QUESTIONNAIRE_4_END,003,questionnaire,end
1785477662.0708256,210.422,TEXT_5_START,004,text,start
1785477691.0170312,239.368,TEXT_5_END,004,text,end
1785477691.0194445,239.37,QUESTION_5_START,004,question,start
1785477711.8729095,260.224,QUESTION_5_END,004,question,end
1785477711.8779633,260.229,QUESTIONNAIRE_5_START,004,questionnaire,start
1785477716.1921542,264.543,QUESTIONNAIRE_5_END,004,questionnaire,end
1785477716.19648,264.547,TEXT_6_START,005,text,start
1785477752.416957,300.768,TEXT_6_END,005,text,end
1785477752.420071,300.771,QUESTION_6_START,005,question,start
1785477763.2729454,311.624,QUESTION_6_END,005,question,end
1785477763.2779205,311.629,QUESTIONNAIRE_6_START,005,questionnaire,start
1785477767.0251918,315.376,QUESTIONNAIRE_6_END,005,questionnaire,end
1785477767.031451,315.382,EXPERIMENT_END,,experiment,end
