trial_id,phase,participant_id,condition,score,length,reading_time_sec,answer_time_sec,questionnaire_time_sec,correct,understanding,confidence,gaze_samples,both_valid_rate,first_gaze_unix_time,last_gaze_unix_time,mean_gaze_x,mean_gaze_y,duration_sec,fixation_count,mean_fixation_duration_ms,reading_speed_chars_per_sec
0,text,P001,hard,2.305439382,435,33.501,16.213,4.805,1,5,5,2014,0.9662363455809336,1785477451.654152,1785477485.1511128,951.51947395043,378.0966110268083,33.501,119,238.28571428571428,12.984687024267933
0,question,P001,hard,2.305439382,435,33.501,16.213,4.805,1,5,5,974,0.8819301848049281,1785477485.168084,1785477501.359087,549.0251641137855,270.3424507658643,16.213,62,198.2741935483871,
0,questionnaire,P001,hard,2.305439382,435,33.501,16.213,4.805,1,5,5,289,0.9342560553633218,1785477501.375244,1785477506.1677098,1149.0145454545454,326.11636363636364,4.805,12,374.3333333333333,
1,text,P001,medium,4.218095238,554,33.916,18.188,2.182,1,4,4,2038,0.9322865554465162,1785477506.18442,1785477540.080602,910.8877245508982,428.8483033932136,33.916,133,213.98496240601503,16.334473404882655
1,question,P001,medium,4.218095238,554,33.916,18.188,2.182,1,4,4,1089,0.8980716253443526,1785477540.113791,1785477558.272961,442.4627709707823,233.5702167766258,18.188,72,197.43055555555554,
1,questionnaire,P001,medium,4.218095238,554,33.916,18.188,2.182,1,4,4,131,0.9465648854961832,1785477558.306455,1785477560.469471,1083.016129032258,348.3467741935484,2.182,8,231.0,
2,text,P001,easy,4.932555556,595,28.482,12.919,3.004,1,4,1,1712,0.9608644859813084,1785477560.48623,1785477588.958166,905.471607890018,459.93305439330544,28.482,116,200.00862068965517,20.89038691103153
2,question,P001,easy,4.932555556,595,28.482,12.919,3.004,1,4,1,776,0.9716494845360824,1785477588.9742348,1785477601.870622,470.2013157894737,261.43815789473683,12.919,54,197.53703703703704,
2,questionnaire,P001,easy,4.932555556,595,28.482,12.919,3.004,1,4,1,181,1.0,1785477601.887611,1785477604.882638,916.7624309392264,353.3425414364641,3.004,11,245.0,
3,text,P001,hard,2.278212373,581,31.906,21.973,3.285,1,3,4,1918,0.9770594369134517,1785477604.8989558,1785477636.798311,932.7771911298838,500.2983104540655,31.906,130,202.73846153846154,18.209741114523915
3,question,P001,hard,2.278212373,581,31.906,21.973,3.285,1,3,4,1320,0.9492424242424242,1785477636.81508,1785477658.7634418,498.8600311041991,327.58398133748057,21.973,88,199.63636363636363,
3,questionnaire,P001,hard,2.278212373,581,31.906,21.973,3.285,1,3,4,198,0.9545454545454546,1785477658.7802558,1785477662.0582528,1025.5333333333333,270.79487179487177,3.285,11,261.72727272727275,
4,text,P001,medium,3.461222222,502,28.946,20.853,4.314,0,2,1,1740,0.97183908045977,1785477662.075012,1785477691.0123148,928.0163551401868,434.7646028037384,28.946,114,215.78947368421052,17.342638015615282
4,question,P001,medium,3.461222222,502,28.946,20.853,4.314,0,2,1,1250,0.9344,1785477691.029043,1785477711.867317,532.3567880794702,234.7814569536424,20.853,81,203.8395061728395,
4,questionnaire,P001,medium,3.461222222,502,28.946,20.853,4.314,0,2,1,259,0.9652509652509652,1785477711.884049,1785477716.177269,834.9402390438247,356.0159362549801,4.314,16,244.4375,
5,text,P001,easy,4.556765258,487,36.22,10.853,3.747,1,4,5,2176,0.9719669117647058,1785477716.210461,1785477752.403035,918.9486221391873,424.1078935077067,36.22,143,212.74125874125875,13.445610160132524
5,question,P001,easy,4.556765258,487,36.22,10.853,3.747,1,4,5,652,0.9754601226993864,1785477752.4363608,1785477763.269435,516.3790951638066,290.39313572542903,10.853,43,211.34883720930233,
5,questionnaire,P001,easy,4.556765258,487,36.22,10.853,3.747,1,4,5,225,0.9644444444444444,1785477763.285652,1785477767.013268,1077.9770642201836,343.5963302752294,3.747,13,297.0,
