Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Average calibration accuracy (mm),Average calibration precision SD (mm),Average calibration precision RMS (mm),Average calibration accuracy (degrees),Average calibration precision SD (degrees),Average calibration precision RMS (degrees),Average calibration accuracy (pixels),Average calibration precision SD (pixels),Average calibration precision RMS (pixels),Average validation accuracy (mm),Average validation precision SD (mm),Average validation precision RMS (mm),Average validation accuracy (degrees),Average validation precision SD (degrees),Average validation precision RMS (degrees),Average validation accuracy (pixels),Average validation precision SD (pixels),Average validation precision RMS (pixels),Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Eye movement event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Ungrouped,Client area position X (DACSpx),Client area position Y (DACSpx),Viewport position X,Viewport position Y,Viewport width,Viewport height,Full page width,Full page height,Mouse position X,Mouse position Y,recording_time_sec,gaze_unix_time,recording_start_unix,time_shift_sec,recording_timestamp_unit,recording_timestamp_divisor,trial_id,phase,phase_start_time,phase_end_time,phase_duration_sec,trial_relative_time_sec,participant_id,condition,score,length,experiment_start_time,reading_time_sec,answer_time_sec,questionnaire_time_sec,correct_answer,participant_answer,correct,understanding,confidence,screen_width,screen_height
63202152,7299958107,Eye Tracker,Project20,2026/07/31,Participant1,Recording1,2026/07/31,2026/07/31,14:56:28.452,05:56:28.452,385012,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,5.2,,,0.45,,,17,,,8.6,1.6,1.5,0.8,0.15,0.14,27,5,5,278313618.0,,,948.0,421.0,931.0,401.0,965.0,441.0,0.06746,-0.00064,-0.99772,-0.02205,0.01636,-0.99962,2.923,2.608,2.771,Valid,Valid,256.3,126.9,555.5,317.0,130.2,557.6,293.9,126.5,304.7,139.3,0.4939,0.3899,0.485,0.3712,0.5028,0.4087,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,316.0,112.0,947.0,423.0,0.4932,0.3919,,,,,,,,,,,,63.202152,1785477451.654152,1785477388.452,0.0,microseconds,1000000,000,text,1785477451.6518097,1785477485.1526122,33.501,0.00234222412109375,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
63219049,7299975004,Eye Tracker,Project20,2026/07/31,Participant1,Recording1,2026/07/31,2026/07/31,14:56:28.452,05:56:28.452,385012,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,5.2,,,0.45,,,17,,,8.6,1.6,1.5,0.8,0.15,0.14,27,5,5,278330515.0,,,949.0,420.0,931.0,399.0,966.0,441.0,0.06759,-0.00198,-0.99771,-0.02139,0.01574,-0.99965,2.925,2.608,2.769,Valid,Valid,256.2,127.0,555.3,316.9,130.3,557.4,293.8,125.9,304.9,139.1,0.4941,0.3888,0.4849,0.3695,0.5032,0.4081,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,316.0,112.0,947.0,423.0,0.4932,0.3919,,,,,,,,,,,,63.219049,1785477451.6710489,1785477388.452,0.0,microseconds,1000000,000,text,1785477451.6518097,1785477485.1526122,33.501,0.019239187240600586,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
63235695,7299991650,Eye Tracker,Project20,2026/07/31,Participant1,Recording1,2026/07/31,2026/07/31,14:56:28.452,05:56:28.452,385012,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,5.2,,,0.45,,,17,,,8.6,1.6,1.5,0.8,0.15,0.14,27,5,5,278347160.0,,,948.0,419.0,931.0,397.0,964.0,442.0,0.06774,-0.00375,-0.9977,-0.02232,0.01646,-0.99962,2.929,2.614,2.769,Valid,Valid,256.1,127.2,555.2,316.7,130.5,557.3,293.8,125.1,304.3,139.6,0.4935,0.3884,0.4849,0.3671,0.5022,0.4097,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,316.0,112.0,947.0,423.0,0.4932,0.3919,,,,,,,,,,,,63.235695,1785477451.6876948,1785477388.452,0.0,microseconds,1000000,000,text,1785477451.6518097,1785477485.1526122,33.501,0.03588509559631348,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
63252110,7300008065,Eye Tracker,Project20,2026/07/31,Participant1,Recording1,2026/07/31,2026/07/31,14:56:28.452,05:56:28.452,385012,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,5.2,,,0.45,,,17,,,8.6,1.6,1.5,0.8,0.15,0.14,27,5,5,278363575.0,,,944.0,421.0,928.0,400.0,960.0,442.0,0.0663,-0.00196,-0.9978,-0.02436,0.01596,-0.99958,2.922,2.612,2.771,Valid,Valid,256.1,127.3,555.1,316.7,130.6,557.1,292.9,126.2,303.1,139.5,0.4918,0.3898,0.4834,0.3704,0.5001,0.4092,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,316.0,112.0,947.0,423.0,0.4932,0.3919,,,,,,,,,,,,63.25211,1785477451.70411,1785477388.452,0.0,microseconds,1000000,000,text,1785477451.6518097,1785477485.1526122,33.501,0.052300214767456055,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
63268966,7300024921,Eye Tracker,Project20,2026/07/31,Participant1,Recording1,2026/07/31,2026/07/31,14:56:28.452,05:56:28.452,385012,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,5.2,,,0.45,,,17,,,8.6,1.6,1.5,0.8,0.15,0.14,27,5,5,278380431.0,,,943.0,418.0,929.0,397.0,957.0,440.0,0.06674,-0.00419,-0.99776,-0.02591,0.01471,-0.99956,2.931,2.624,2.777,Valid,Valid,256.0,127.5,554.9,316.6,130.7,557.0,293.1,125.1,302.1,138.9,0.4911,0.3873,0.4837,0.3672,0.4986,0.4075,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,316.0,112.0,947.0,423.0,0.4932,0.3919,,,,,,,,,,,,63.268966,1785477451.7209659,1785477388.452,0.0,microseconds,1000000,000,text,1785477451.6518097,1785477485.1526122,33.501,0.06915616989135742,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
63285615,7300041570,Eye Tracker,Project20,2026/07/31,Participant1,Recording1,2026/07/31,2026/07/31,14:56:28.452,05:56:28.452,385012,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,5.2,,,0.45,,,17,,,8.6,1.6,1.5,0.8,0.15,0.14,27,5,5,278397080.0,,,944.0,424.0,926.0,407.0,961.0,441.0,0.06561,0.00147,-0.99784,-0.02344,0.01529,-0.99961,2.927,2.636,2.783,Valid,Valid,255.9,127.6,554.5,316.5,130.8,556.6,292.4,128.4,303.4,139.3,0.4916,0.3928,0.4825,0.3768,0.5007,0.4088,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,316.0,112.0,947.0,423.0,0.4932,0.3919,,,,,,,,,,,,63.285615,1785477451.7376149,1785477388.452,0.0,microseconds,1000000,000,text,1785477451.6518097,1785477485.1526122,33.501,0.08580517768859863,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
63302077,7300058032,Eye Tracker,Project20,2026/07/31,Participant1,Recording1,2026/07/31,2026/07/31,14:56:28.452,05:56:28.452,385012,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,5.2,,,0.45,,,17,,,8.6,1.6,1.5,0.8,0.15,0.14,27,5,5,278413541.0,,,943.0,428.0,928.0,410.0,958.0,447.0,0.0665,0.00304,-0.99778,-0.02507,0.01811,-0.99952,2.93,2.635,2.784,Valid,Valid,255.9,127.7,554.2,316.4,130.9,556.3,292.9,129.4,302.4,141.0,0.4912,0.3967,0.4833,0.3796,0.4991,0.4137,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,316.0,112.0,947.0,423.0,0.4932,0.3919,,,,,,,,,,,,63.302077,1785477451.754077,1785477388.452,0.0,microseconds,1000000,000,text,1785477451.6518097,1785477485.1526122,33.501,0.10226726531982422,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
63318882,7300074837,Eye Tracker,Project20,2026/07/31,Participant1,Recording1,2026/07/31,2026/07/31,14:56:28.452,05:56:28.452,385012,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,5.2,,,0.45,,,17,,,8.6,1.6,1.5,0.8,0.15,0.14,27,5,5,278430346.0,,,944.0,432.0,929.0,414.0,960.0,451.0,0.06715,0.00512,-0.99773,-0.02395,0.0202,-0.99951,2.936,2.647,2.792,Valid,Valid,255.9,127.8,553.8,316.3,131.0,555.9,293.2,130.6,303.0,142.2,0.4919,0.4003,0.4838,0.3833,0.5,0.4173,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,316.0,112.0,947.0,423.0,0.4932,0.3919,,,,,,,,,,,,63.318882,1785477451.770882,1785477388.452,0.0,microseconds,1000000,000,text,1785477451.6518097,1785477485.1526122,33.501,0.11907219886779785,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
63335536,7300091491,Eye Tracker,Project20,2026/07/31,Participant1,Recording1,2026/07/31,2026/07/31,14:56:28.452,05:56:28.452,385012,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,5.2,,,0.45,,,17,,,8.6,1.6,1.5,0.8,0.15,0.14,27,5,5,278447000.0,,,945.0,438.0,930.0,420.0,959.0,456.0,0.0679,0.0085,-0.99766,-0.0242,0.02323,-0.99944,2.936,2.662,2.799,Valid,Valid,255.9,127.8,553.6,316.2,131.0,555.7,293.5,132.5,302.8,144.0,0.492,0.4056,0.4844,0.3889,0.4997,0.4223,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,316.0,112.0,947.0,423.0,0.4932,0.3919,,,,,,,,,,,,63.335536,1785477451.787536,1785477388.452,0.0,microseconds,1000000,000,text,1785477451.6518097,1785477485.1526122,33.501,0.1357262134552002,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
63351946,7300107901,Eye Tracker,Project20,2026/07/31,Participant1,Recording1,2026/07/31,2026/07/31,14:56:28.452,05:56:28.452,385012,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,5.2,,,0.45,,,17,,,8.6,1.6,1.5,0.8,0.15,0.14,27,5,5,278463410.0,,,934.0,410.0,922.0,398.0,945.0,423.0,0.0632,-0.00397,-0.99799,-0.0319,0.00448,-0.99948,2.955,2.686,2.821,Valid,Valid,255.8,127.8,553.4,316.1,131.0,555.5,290.9,125.6,298.4,133.5,0.4862,0.3801,0.48,0.3685,0.4924,0.3917,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Saccade,50.0,152.0,,,,,,,,,,,,,,,,63.351946,1785477451.803946,1785477388.452,0.0,microseconds,1000000,000,text,1785477451.6518097,1785477485.1526122,33.501,0.15213632583618164,P001,hard,2.305439382,435,1785477451.6490774,33.501,16.213,4.805,A,A,1,5,5,1920,1080
