Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Average calibration accuracy (mm),Average calibration precision SD (mm),Average calibration precision RMS (mm),Average calibration accuracy (degrees),Average calibration precision SD (degrees),Average calibration precision RMS (degrees),Average calibration accuracy (pixels),Average calibration precision SD (pixels),Average calibration precision RMS (pixels),Average validation accuracy (mm),Average validation precision SD (mm),Average validation precision RMS (mm),Average validation accuracy (degrees),Average validation precision SD (degrees),Average validation precision RMS (degrees),Average validation accuracy (pixels),Average validation precision SD (pixels),Average validation precision RMS (pixels),Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Pupil diameter filtered,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Eye movement event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),Ungrouped,Client area position X (DACSpx),Client area position Y (DACSpx),Viewport position X,Viewport position Y,Viewport width,Viewport height,Full page width,Full page height,Mouse position X,Mouse position Y,recording_time_sec,gaze_unix_time,recording_start_unix,time_shift_sec,trial_id,phase,trial_relative_time_sec,participant_id,condition,score,length,experiment_start_time,text_start_offset,text_end_offset,question_start_offset,question_end_offset,reading_time_sec,answer_time_sec,correct_answer,participant_answer,correct,understanding,confidence,screen_width,screen_height
45179623,563747731554,Eye Tracker,shitagaki,2026/06/17,Participant1,Recording1,2026/06/17,2026/06/17,11:08:39.466,02:08:39.466,450343,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,13.7,,,1.07,,,43,,,7.5,1.7,1.3,0.67,0.15,0.11,24,5,4,312415675947.0,,,908.0,411.0,896.0,393.0,919.0,429.0,0.02842,-0.11019,-0.9935,-0.05817,-0.09691,-0.99359,3.124,2.701,2.913,Valid,Valid,265.4,191.8,610.2,325.9,195.1,611.8,282.8,124.1,290.1,135.4,0.4727,0.3807,0.4667,0.3642,0.4787,0.3972,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,216.0,56.0,905.0,415.0,0.4716,0.3843,,,,,,,,,,,,45.179623,1781662164.645623,1781662119.466,0.0,1,reading,0.010921001434326172,P001,easy,4.93,577,1781662164.6322682,0.002,38.871,38.875,54.415,38.869,15.54,D,D,1,5,5,1920,1080
45196286,563747748217,Eye Tracker,shitagaki,2026/06/17,Participant1,Recording1,2026/06/17,2026/06/17,11:08:39.466,02:08:39.466,450343,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,13.7,,,1.07,,,43,,,7.5,1.7,1.3,0.67,0.15,0.11,24,5,4,312415692610.0,,,908.0,411.0,900.0,390.0,917.0,432.0,0.03037,-0.11148,-0.9933,-0.05917,-0.09517,-0.9937,3.122,2.707,2.915,Valid,Valid,265.3,191.7,610.4,325.9,195.0,612.0,284.0,123.2,289.4,136.3,0.4731,0.3807,0.4686,0.3614,0.4777,0.4,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,216.0,56.0,905.0,415.0,0.4716,0.3843,,,,,,,,,,,,45.196286,1781662164.662286,1781662119.466,0.0,1,reading,0.027584075927734375,P001,easy,4.93,577,1781662164.6322682,0.002,38.871,38.875,54.415,38.869,15.54,D,D,1,5,5,1920,1080
45212730,563747764661,Eye Tracker,shitagaki,2026/06/17,Participant1,Recording1,2026/06/17,2026/06/17,11:08:39.466,02:08:39.466,450343,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,13.7,,,1.07,,,43,,,7.5,1.7,1.3,0.67,0.15,0.11,24,5,4,312415709053.0,,,908.0,417.0,902.0,399.0,914.0,436.0,0.03164,-0.10711,-0.99374,-0.06067,-0.09307,-0.99381,3.13,2.715,2.923,Valid,Valid,265.3,191.6,610.5,325.9,194.9,612.1,284.7,125.8,288.5,137.6,0.473,0.3864,0.4699,0.3692,0.4761,0.4036,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,216.0,56.0,905.0,415.0,0.4716,0.3843,,,,,,,,,,,,45.21273,1781662164.67873,1781662119.466,0.0,1,reading,0.04402804374694824,P001,easy,4.93,577,1781662164.6322682,0.002,38.871,38.875,54.415,38.869,15.54,D,D,1,5,5,1920,1080
45229540,563747781471,Eye Tracker,shitagaki,2026/06/17,Participant1,Recording1,2026/06/17,2026/06/17,11:08:39.466,02:08:39.466,450343,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,13.7,,,1.07,,,43,,,7.5,1.7,1.3,0.67,0.15,0.11,24,5,4,312415725863.0,,,893.0,380.0,881.0,364.0,904.0,396.0,0.02075,-0.12423,-0.99204,-0.06544,-0.11294,-0.99144,3.142,2.733,2.937,Valid,Valid,265.3,191.4,610.7,325.8,194.7,612.3,278.0,114.9,285.3,124.9,0.4648,0.3518,0.4588,0.3372,0.4709,0.3665,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Saccade,50.0,72.0,,,,,,,,,,,,,,,,45.22954,1781662164.6955402,1781662119.466,0.0,1,reading,0.06083822250366211,P001,easy,4.93,577,1781662164.6322682,0.002,38.871,38.875,54.415,38.869,15.54,D,D,1,5,5,1920,1080
45246213,563747798144,Eye Tracker,shitagaki,2026/06/17,Participant1,Recording1,2026/06/17,2026/06/17,11:08:39.466,02:08:39.466,450343,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,13.7,,,1.07,,,43,,,7.5,1.7,1.3,0.67,0.15,0.11,24,5,4,312415742536.0,,,838.0,247.0,820.0,228.0,856.0,267.0,-0.01019,-0.19129,-0.98148,-0.08863,-0.17607,-0.98038,3.172,2.743,2.958,Valid,Valid,265.2,191.0,611.0,325.5,194.3,612.6,258.8,71.9,270.2,84.3,0.4365,0.2291,0.4272,0.211,0.4458,0.2472,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Saccade,50.0,72.0,,,,,,,,,,,,,,,,45.246213,1781662164.712213,1781662119.466,0.0,1,reading,0.07751107215881348,P001,easy,4.93,577,1781662164.6322682,0.002,38.871,38.875,54.415,38.869,15.54,D,D,1,5,5,1920,1080
45262696,563747814627,Eye Tracker,shitagaki,2026/06/17,Participant1,Recording1,2026/06/17,2026/06/17,11:08:39.466,02:08:39.466,450343,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,13.7,,,1.07,,,43,,,7.5,1.7,1.3,0.67,0.15,0.11,24,5,4,312415759019.0,,,823.0,208.0,811.0,189.0,835.0,226.0,-0.01466,-0.20979,-0.97764,-0.09878,-0.19546,-0.97572,3.194,2.76,2.977,Valid,Valid,265.1,190.8,611.1,325.5,194.1,612.7,256.0,59.7,263.4,71.3,0.4286,0.1922,0.4224,0.1751,0.4347,0.2093,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Saccade,50.0,72.0,,,,,,,,,,,,,,,,45.262696,1781662164.728696,1781662119.466,0.0,1,reading,0.093994140625,P001,easy,4.93,577,1781662164.6322682,0.002,38.871,38.875,54.415,38.869,15.54,D,D,1,5,5,1920,1080
45279456,563747831387,Eye Tracker,shitagaki,2026/06/17,Participant1,Recording1,2026/06/17,2026/06/17,11:08:39.466,02:08:39.466,450343,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,13.7,,,1.07,,,43,,,7.5,1.7,1.3,0.67,0.15,0.11,24,5,4,312415775778.0,,,820.0,197.0,806.0,175.0,835.0,220.0,-0.01709,-0.21645,-0.97615,-0.09847,-0.19841,-0.97516,3.21,2.777,2.99,Valid,Valid,265.0,190.8,611.2,325.4,194.0,612.8,254.3,55.3,263.6,69.3,0.4273,0.1828,0.4197,0.1621,0.435,0.2034,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,133.0,57.0,817.0,196.0,0.4256,0.1817,,,,,,,,,,,,45.279456,1781662164.745456,1781662119.466,0.0,1,reading,0.11075401306152344,P001,easy,4.93,577,1781662164.6322682,0.002,38.871,38.875,54.415,38.869,15.54,D,D,1,5,5,1920,1080
45296124,563747848055,Eye Tracker,shitagaki,2026/06/17,Participant1,Recording1,2026/06/17,2026/06/17,11:08:39.466,02:08:39.466,450343,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,13.7,,,1.07,,,43,,,7.5,1.7,1.3,0.67,0.15,0.11,24,5,4,312415792446.0,,,820.0,193.0,803.0,171.0,838.0,216.0,-0.01844,-0.21869,-0.97562,-0.09715,-0.20035,-0.9749,3.208,2.779,2.991,Valid,Valid,265.0,190.8,610.9,325.4,194.0,612.6,253.4,53.8,264.3,68.1,0.4272,0.1789,0.4182,0.1579,0.4362,0.1998,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,133.0,57.0,817.0,196.0,0.4256,0.1817,,,,,,,,,,,,45.296124,1781662164.762124,1781662119.466,0.0,1,reading,0.12742209434509277,P001,easy,4.93,577,1781662164.6322682,0.002,38.871,38.875,54.415,38.869,15.54,D,D,1,5,5,1920,1080
45312568,563747864499,Eye Tracker,shitagaki,2026/06/17,Participant1,Recording1,2026/06/17,2026/06/17,11:08:39.466,02:08:39.466,450343,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,13.7,,,1.07,,,43,,,7.5,1.7,1.3,0.67,0.15,0.11,24,5,4,312415808889.0,,,816.0,193.0,800.0,170.0,833.0,216.0,-0.02008,-0.21885,-0.97555,-0.09929,-0.20024,-0.9747,3.204,2.779,2.991,Valid,Valid,264.9,190.8,610.8,325.3,194.0,612.4,252.4,53.8,262.9,68.2,0.4252,0.1789,0.4165,0.1577,0.4339,0.2,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,133.0,57.0,817.0,196.0,0.4256,0.1817,,,,,,,,,,,,45.312568,1781662164.778568,1781662119.466,0.0,1,reading,0.14386606216430664,P001,easy,4.93,577,1781662164.6322682,0.002,38.871,38.875,54.415,38.869,15.54,D,D,1,5,5,1920,1080
45329373,563747881304,Eye Tracker,shitagaki,2026/06/17,Participant1,Recording1,2026/06/17,2026/06/17,11:08:39.466,02:08:39.466,450343,Timeline1,Tobii I-VT (Fixation),24.21.435,1080,1920,10,13.7,,,1.07,,,43,,,7.5,1.7,1.3,0.67,0.15,0.11,24,5,4,312415825694.0,,,812.0,196.0,799.0,170.0,825.0,221.0,-0.02015,-0.21891,-0.97554,-0.1031,-0.19777,-0.97481,3.202,2.778,2.99,Valid,Valid,264.8,190.8,610.8,325.2,194.0,612.4,252.2,53.7,260.5,69.7,0.423,0.1811,0.4162,0.1577,0.4299,0.2045,Screen Recording,Screen Recording Recording1.mp4,1920.0,1080.0,0.0,0.0,1920.0,1080.0,Fixation,133.0,57.0,817.0,196.0,0.4256,0.1817,,,,,,,,,,,,45.329373,1781662164.795373,1781662119.466,0.0,1,reading,0.16067099571228027,P001,easy,4.93,577,1781662164.6322682,0.002,38.871,38.875,54.415,38.869,15.54,D,D,1,5,5,1920,1080
