timestamp,offset_sec,event
1781662164.632278,0.0,SYNC
1781662164.6347053,0.002,TEXT_1_START
1781662203.5032628,38.871,TEXT_1_END
1781662203.5073705,38.875,QUESTION_1_START
1781662219.0470848,54.415,QUESTION_1_END
1781662223.4707754,58.839,TEXT_2_START
1781662255.799009,91.167,TEXT_2_END
1781662255.803198,91.171,QUESTION_2_START
1781662285.5899842,120.958,QUESTION_2_END
1781662288.8582652,124.226,TEXT_3_START
1781662327.7333922,163.101,TEXT_3_END
1781662327.7368803,163.105,QUESTION_3_START
1781662356.1976132,191.565,QUESTION_3_END
1781662360.552354,195.92,TEXT_4_START
1781662407.3087695,242.677,TEXT_4_END
1781662407.314226,242.682,QUESTION_4_START
1781662432.0838995,267.452,QUESTION_4_END
1781662435.618992,270.987,TEXT_5_START
1781662480.2123501,315.58,TEXT_5_END
1781662480.2160614,315.584,QUESTION_5_START
1781662499.2113392,334.579,QUESTION_5_END
1781662504.2399108,339.608,TEXT_6_START
1781662544.8186996,380.186,TEXT_6_END
1781662544.8225956,380.19,QUESTION_6_START
1781662564.0029702,399.371,QUESTION_6_END
1781662567.2860107,402.654,EXPERIMENT_END
