trial_id,phase,participant_id,condition,score,length,reading_time_sec,answer_time_sec,correct,understanding,confidence,gaze_samples,fixation_samples,both_valid_rate,first_gaze_unix_time,last_gaze_unix_time,mean_gaze_x,mean_gaze_y,mean_eye_movement_duration,duration_sec,fixation_count,mean_fixation_duration_ms,reading_speed_chars_per_sec
1,reading,P001,easy,4.93,577,38.869,15.54,1,5,5,2332,1976,0.961835334476844,1781662164.645623,1781662203.489089,917.406100217865,389.2657952069717,265.3996569468268,38.869,135,245.16296296296295,14.844734878695105
1,answering,P001,easy,4.93,577,38.869,15.54,1,5,5,930,731,0.910752688172043,1781662203.522314,1781662219.036443,382.692396313364,363.1002304147465,275.6483870967742,15.54,49,250.9591836734694,
2,reading,P001,medium,3.01,509,32.328,29.787,1,4,4,1943,1642,0.9825012866700978,1781662223.479438,1781662255.795105,914.6803748047892,401.22071837584593,257.55223880597015,32.328,116,237.42241379310346,15.74486513239297
2,answering,P001,medium,3.01,509,32.328,29.787,1,4,4,1790,1536,0.9731843575418996,1781662255.8112352,1781662285.580877,366.1978396816373,348.5588402501421,292.7776536312849,29.787,103,250.40776699029126,
3,reading,P001,hard,1.35,488,38.875,28.461,1,4,5,2337,2047,0.9533590072742832,1781662288.858868,1781662327.7307942,949.8123639529822,404.7309534175011,286.75652545999145,38.875,135,254.57037037037037,12.553054662379422
3,answering,P001,hard,1.35,488,38.875,28.461,1,4,5,1710,1427,0.9543859649122808,1781662327.747447,1781662356.18559,448.3621203097081,271.4038117927338,271.9789473684211,28.461,98,243.51020408163265,
4,reading,P001,hard,1.06,479,46.756,24.77,1,4,4,2810,2442,0.9622775800711744,1781662360.5619302,1781662407.304505,924.3714388748648,385.4926072845294,294.02277580071177,46.756,154,267.22727272727275,10.244674480280606
4,answering,P001,hard,1.06,479,46.756,24.77,1,4,4,1487,1211,0.9811701412239408,1781662407.320975,1781662432.078412,444.87077131258457,332.41813261163736,211.08607935440483,24.77,98,205.58163265306123,
5,reading,P001,medium,2.52,468,44.593,18.995,1,5,5,2680,2330,0.9813432835820896,1781662435.6228662,1781662480.202194,929.3780625706748,375.4579721070487,330.41305970149256,44.593,153,255.47712418300654,10.494920727468436
5,answering,P001,medium,2.52,468,44.593,18.995,1,5,5,1142,957,0.9798598949211909,1781662480.218949,1781662499.20538,400.4355123674912,335.77826855123675,221.27933450087565,18.995,75,213.46666666666667,
6,reading,P001,easy,3.71,473,40.579,19.18,1,4,4,2428,1986,0.9316309719934102,1781662504.247395,1781662544.8063111,936.5701754385964,369.0785087719298,276.2182866556837,40.579,137,242.77372262773721,11.656275413391162
6,answering,P001,easy,3.71,473,40.579,19.18,1,4,4,1151,920,0.9061685490877498,1781662544.8226252,1781662563.995016,435.0202578268877,350.99355432780845,246.002606429192,19.18,70,219.4,
