trial_id,phase,gaze_samples,first_gaze_unix_time,last_gaze_unix_time,mean_gaze_x,mean_gaze_y,mean_eye_movement_duration,both_valid_rate,fixation_samples,participant_id,condition,score,length,experiment_start_time,text_start_time,text_end_time,question_start_time,question_end_time,text_start_offset,text_end_offset,question_start_offset,question_end_offset,reading_time_sec,answer_time_sec,correct_answer,participant_answer,correct,understanding,confidence,screen_width,screen_height
1,answering,930,1781662203.522314,1781662219.036443,382.69239631336404,363.10023041474653,275.6483870967742,0.910752688172043,731,P001,easy,4.93,577,1781662164.6322682,1781662164.634702,1781662203.5032437,1781662203.507367,1781662219.0470698,0.002,38.871,38.875,54.415,38.869,15.54,D,D,1,5,5,1920,1080
1,reading,2332,1781662164.645623,1781662203.489089,917.406100217865,389.2657952069717,265.3996569468268,0.9618353344768439,1976,P001,easy,4.93,577,1781662164.6322682,1781662164.634702,1781662203.5032437,1781662203.507367,1781662219.0470698,0.002,38.871,38.875,54.415,38.869,15.54,D,D,1,5,5,1920,1080
2,answering,1790,1781662255.8112352,1781662285.580877,366.1978396816373,348.5588402501421,292.7776536312849,0.9731843575418995,1536,P001,medium,3.01,509,1781662164.6322682,1781662223.4707725,1781662255.7989638,1781662255.803193,1781662285.5899658,58.839,91.167,91.171,120.958,32.328,29.787,C,C,1,4,4,1920,1080
2,reading,1943,1781662223.479438,1781662255.795105,914.6803748047892,401.22071837584593,257.55223880597015,0.9825012866700978,1642,P001,medium,3.01,509,1781662164.6322682,1781662223.4707725,1781662255.7989638,1781662255.803193,1781662285.5899658,58.839,91.167,91.171,120.958,32.328,29.787,C,C,1,4,4,1920,1080
3,answering,1710,1781662327.747447,1781662356.18559,448.36212030970813,271.4038117927338,271.9789473684211,0.9543859649122807,1427,P001,hard,1.35,488,1781662164.6322682,1781662288.858261,1781662327.7333355,1781662327.7368786,1781662356.197579,124.226,163.101,163.105,191.565,38.875,28.461,A,A,1,4,5,1920,1080
3,reading,2337,1781662288.8588681,1781662327.7307942,949.8123639529822,404.7309534175011,286.75652545999145,0.9533590072742832,2047,P001,hard,1.35,488,1781662164.6322682,1781662288.858261,1781662327.7333355,1781662327.7368786,1781662356.197579,124.226,163.101,163.105,191.565,38.875,28.461,A,A,1,4,5,1920,1080
4,answering,1487,1781662407.320975,1781662432.078412,444.87077131258457,332.41813261163736,211.08607935440483,0.9811701412239409,1211,P001,hard,1.06,479,1781662164.6322682,1781662360.552352,1781662407.3087482,1781662407.3142242,1781662432.0838838,195.92,242.676,242.682,267.452,46.756,24.77,A,A,1,4,4,1920,1080
4,reading,2810,1781662360.5619302,1781662407.304505,924.3714388748648,385.4926072845294,294.02277580071177,0.9622775800711744,2442,P001,hard,1.06,479,1781662164.6322682,1781662360.552352,1781662407.3087482,1781662407.3142242,1781662432.0838838,195.92,242.676,242.682,267.452,46.756,24.77,A,A,1,4,4,1920,1080
5,answering,1142,1781662480.218949,1781662499.20538,400.4355123674912,335.77826855123675,221.27933450087565,0.9798598949211909,957,P001,medium,2.52,468,1781662164.6322682,1781662435.6189876,1781662480.212319,1781662480.2160594,1781662499.2113247,270.987,315.58,315.584,334.579,44.593,18.995,A,A,1,5,5,1920,1080
5,reading,2680,1781662435.6228662,1781662480.202194,929.3780625706747,375.45797210704865,330.41305970149256,0.9813432835820896,2330,P001,medium,2.52,468,1781662164.6322682,1781662435.6189876,1781662480.212319,1781662480.2160594,1781662499.2113247,270.987,315.58,315.584,334.579,44.593,18.995,A,A,1,5,5,1920,1080
6,answering,1151,1781662544.8226252,1781662563.995016,435.02025782688764,350.99355432780845,246.002606429192,0.9061685490877498,920,P001,easy,3.71,473,1781662164.6322682,1781662504.2399085,1781662544.8186822,1781662544.8225915,1781662564.0029488,339.608,380.186,380.19,399.371,40.579,19.18,C,C,1,4,4,1920,1080
6,reading,2428,1781662504.247395,1781662544.8063111,936.5701754385965,369.0785087719298,276.2182866556837,0.9316309719934102,1986,P001,easy,3.71,473,1781662164.6322682,1781662504.2399085,1781662544.8186822,1781662544.8225915,1781662564.0029488,339.608,380.186,380.19,399.371,40.579,19.18,C,C,1,4,4,1920,1080
